Repair_ID,PC_ID,Timestamp,UserComplaint,Symptoms,ProblemDetected,ConfirmedDiagnosis,RootCause,TreatmentTaken,DowntimeMinutes,TechnicianNotes
REP-00001,DRDO-PC-0001,2024-01-15 09:00:00,Computer is very slow and files sometimes fail to open,Slow disk response; read errors; freezes,Disk Failure,Storage device degradation,Degraded storage media,Replaced degraded storage device and restored validated backup,45,Persistent read instability found; replacement passed verification.
REP-00002,DRDO-PC-0008,2024-01-17 12:11:00,Applications start freezing after several hours,Increasing RAM use; delayed response; hangs,Memory Leak,Memory resource exhaustion,Background service retaining memory,Restarted and remediated affected background service,58,Service memory retention confirmed; stable after remediation.
REP-00003,DRDO-PC-0015,2024-01-19 15:22:00,PC gets unusually hot even with normal usage,Persistent high temperature; loud fan; throttling,Overheating,Restricted cooling airflow,Blocked exhaust vents,Cleaned exhaust path and internal cooling assembly,71,Airflow obstruction removed and fan operation verified.
REP-00004,DRDO-PC-0022,2024-01-21 09:33:00,Computer becomes slower the longer I use it,RAM usage rises continuously; slowdown; freeze,Memory Leak,Software memory exhaustion,Application memory leak,Identified offending process and applied software remediation,84,Memory growth traced to persistent process; stable after fix.
REP-00005,DRDO-PC-0029,2024-01-23 12:44:00,Applications start freezing after several hours,Increasing RAM use; delayed response; hangs,Memory Leak,Memory resource exhaustion,Background service retaining memory,Restarted and remediated affected background service,97,Service memory retention confirmed; stable after remediation.
REP-00006,DRDO-PC-0036,2024-01-25 15:55:00,PC shows very high memory usage during normal work,High RAM utilization; sluggish response; process growth,Memory Leak,Abnormal memory consumption,Misbehaving application process,Updated affected application and corrected process configuration,110,Sustained process memory growth corrected.
REP-00007,DRDO-PC-0043,2024-01-27 09:06:00,Computer switches off randomly without warning,Sudden shutdown; unstable voltage; intermittent charging,Power Issue,Power delivery instability,Faulty charging adapter,Replaced unstable charging adapter and verified power rails,123,Adapter output unstable under load; replacement restored operation.
REP-00008,DRDO-PC-0050,2024-01-29 12:17:00,PC freezes while opening large files,I/O delays; intermittent freezes; high disk activity,Disk Failure,Storage subsystem fault,Unstable storage device,Replaced storage device and completed filesystem verification,136,Repeated storage errors observed; stable after replacement.
REP-00009,DRDO-PC-0057,2024-01-31 15:28:00,System sometimes fails to power on,Intermittent startup; charging irregularity,Power Issue,Charging circuit fault,Loose or degraded power connector,Serviced power connector and charging path,149,Connector instability identified; stable startup confirmed.
REP-00010,DRDO-PC-0064,2024-02-02 09:39:00,Laptop becomes very hot and shuts down during work,High temperature; sudden shutdown; weak airflow,Overheating,Cooling system degradation,Dust-clogged cooling fan,"Cleaned cooling fan, heatsink and air vents",162,Heavy dust accumulation found; temperatures normalized after service.
REP-00011,DRDO-PC-0071,2024-02-04 12:50:00,PC restarts when workload increases,Voltage fluctuation; restart under load,Power Issue,Motherboard power regulation fault,Voltage regulator instability,Inspected and serviced motherboard power regulation circuit,45,Power rail instability isolated and operation verified.
REP-00012,DRDO-PC-0078,2024-02-06 15:01:00,System takes too long to boot,Slow startup; delayed disk response; storage warnings,Disk Failure,Storage performance degradation,Aging storage device,Migrated data and replaced aging storage device,58,Boot and read performance normalized.
REP-00013,DRDO-PC-0085,2024-02-08 09:12:00,Computer switches off randomly without warning,Sudden shutdown; unstable voltage; intermittent charging,Power Issue,Power delivery instability,Faulty charging adapter,Replaced unstable charging adapter and verified power rails,71,Adapter output unstable under load; replacement restored operation.
REP-00014,DRDO-PC-0092,2024-02-10 12:23:00,Applications start freezing after several hours,Increasing RAM use; delayed response; hangs,Memory Leak,Memory resource exhaustion,Background service retaining memory,Restarted and remediated affected background service,84,Service memory retention confirmed; stable after remediation.
REP-00015,DRDO-PC-0099,2024-02-12 15:34:00,System takes too long to boot,Slow startup; delayed disk response; storage warnings,Disk Failure,Storage performance degradation,Aging storage device,Migrated data and replaced aging storage device,97,Boot and read performance normalized.
REP-00016,DRDO-PC-0006,2024-02-14 09:45:00,Computer switches off randomly without warning,Sudden shutdown; unstable voltage; intermittent charging,Power Issue,Power delivery instability,Faulty charging adapter,Replaced unstable charging adapter and verified power rails,110,Adapter output unstable under load; replacement restored operation.
REP-00017,DRDO-PC-0013,2024-02-16 12:56:00,Applications start freezing after several hours,Increasing RAM use; delayed response; hangs,Memory Leak,Memory resource exhaustion,Background service retaining memory,Restarted and remediated affected background service,123,Service memory retention confirmed; stable after remediation.
REP-00018,DRDO-PC-0020,2024-02-18 15:07:00,System takes too long to boot,Slow startup; delayed disk response; storage warnings,Disk Failure,Storage performance degradation,Aging storage device,Migrated data and replaced aging storage device,136,Boot and read performance normalized.
REP-00019,DRDO-PC-0027,2024-02-20 09:18:00,Computer becomes slower the longer I use it,RAM usage rises continuously; slowdown; freeze,Memory Leak,Software memory exhaustion,Application memory leak,Identified offending process and applied software remediation,149,Memory growth traced to persistent process; stable after fix.
REP-00020,DRDO-PC-0034,2024-02-22 12:29:00,PC freezes while opening large files,I/O delays; intermittent freezes; high disk activity,Disk Failure,Storage subsystem fault,Unstable storage device,Replaced storage device and completed filesystem verification,162,Repeated storage errors observed; stable after replacement.
REP-00021,DRDO-PC-0041,2024-02-24 15:40:00,System takes too long to boot,Slow startup; delayed disk response; storage warnings,Disk Failure,Storage performance degradation,Aging storage device,Migrated data and replaced aging storage device,45,Boot and read performance normalized.
REP-00022,DRDO-PC-0048,2024-02-26 09:51:00,Computer switches off randomly without warning,Sudden shutdown; unstable voltage; intermittent charging,Power Issue,Power delivery instability,Faulty charging adapter,Replaced unstable charging adapter and verified power rails,58,Adapter output unstable under load; replacement restored operation.
REP-00023,DRDO-PC-0055,2024-02-28 12:02:00,PC restarts when workload increases,Voltage fluctuation; restart under load,Power Issue,Motherboard power regulation fault,Voltage regulator instability,Inspected and serviced motherboard power regulation circuit,71,Power rail instability isolated and operation verified.
REP-00024,DRDO-PC-0062,2024-03-01 15:13:00,System takes too long to boot,Slow startup; delayed disk response; storage warnings,Disk Failure,Storage performance degradation,Aging storage device,Migrated data and replaced aging storage device,84,Boot and read performance normalized.
REP-00025,DRDO-PC-0069,2024-03-03 09:24:00,Computer switches off randomly without warning,Sudden shutdown; unstable voltage; intermittent charging,Power Issue,Power delivery instability,Faulty charging adapter,Replaced unstable charging adapter and verified power rails,97,Adapter output unstable under load; replacement restored operation.
REP-00026,DRDO-PC-0076,2024-03-05 12:35:00,PC freezes while opening large files,I/O delays; intermittent freezes; high disk activity,Disk Failure,Storage subsystem fault,Unstable storage device,Replaced storage device and completed filesystem verification,110,Repeated storage errors observed; stable after replacement.
REP-00027,DRDO-PC-0083,2024-03-07 15:46:00,System takes too long to boot,Slow startup; delayed disk response; storage warnings,Disk Failure,Storage performance degradation,Aging storage device,Migrated data and replaced aging storage device,123,Boot and read performance normalized.
