RepairID,PC_ID,UserComplaint,Symptoms,ProblemDetected,ConfirmedDiagnosis,RootCause,TreatmentTaken,RepairStatus,TechnicianNotes,ResolutionVerified
REP-00522,DRDO-PC-0010,Observed issue: System becomes slow after applications stay open for hours and requests diagnosis.,Progressive slowdown; rising memory usage,Memory Leak,Long-running application memory retention,Long-running process retains unused objects,"Restarted affected service, applied update, and monitored memory trend",Completed,"Diagnosis confirmed through targeted checks. Restarted affected service, applied update, and monitored memory trend",Yes
REP-00738,DRDO-PC-0081,Observed issue: System log shows repeated unexpected power events and requests diagnosis.,Repeated unexpected power events,Power Issue,Recurring power delivery event,Unstable system power source,Diagnosed repeated power events and restored stable supply path,Completed,Diagnosis confirmed through targeted checks. Diagnosed repeated power events and restored stable supply path,Yes
REP-00741,DRDO-PC-0010,Maintenance note: PC restarts unexpectedly when workload increases and requests diagnosis.,Load-related restart; voltage instability,Power Issue,Power delivery instability,Degraded power supply regulation,"Tested power rails, replaced degraded PSU, and verified load stability",Completed,"Diagnosis confirmed through targeted checks. Tested power rails, replaced degraded PSU, and verified load stability",Yes
REP-00661,DRDO-PC-0094,Maintenance note: PC restarts unexpectedly when workload increases.,Load-related restart; voltage instability,Power Issue,Power delivery instability,Degraded power supply regulation,"Tested power rails, replaced degraded PSU, and verified load stability",Completed,"Diagnosis confirmed through targeted checks. Tested power rails, replaced degraded PSU, and verified load stability",Yes
REP-00412,DRDO-PC-0075,PC swaps heavily after several hours of use,Heavy paging after prolonged uptime,Memory Leak,Paging caused by unreleased allocations,Excessive paging triggered by retained memory,Fixed retained-memory source and verified paging returned to normal,Completed,Diagnosis confirmed through targeted checks. Fixed retained-memory source and verified paging returned to normal,Yes
REP-00679,DRDO-PC-0019,Maintenance note: Machine is stable at idle but reboots under load.,Stable idle state; reboot under load,Power Issue,Load-dependent PSU instability,Voltage sag under load,Replaced PSU showing voltage sag under load,Completed,Diagnosis confirmed through targeted checks. Replaced PSU showing voltage sag under load,Yes
REP-00627,DRDO-PC-0053,User reports: System loses power intermittently,Intermittent complete power loss,Power Issue,Intermittent PSU or connection fault,Loose connector or failing PSU,Reseated connectors and replaced intermittent PSU,Completed,Diagnosis confirmed through targeted checks. Reseated connectors and replaced intermittent PSU,Yes
REP-00514,DRDO-PC-0043,User reports: Memory pressure warning appears repeatedly during recent operation.,Repeated low-memory warnings,Memory Leak,Sustained memory pressure condition,Software memory management defect,Investigated low-memory events and patched responsible software,Completed,Diagnosis confirmed through targeted checks. Investigated low-memory events and patched responsible software,Yes
REP-00860,DRDO-PC-0040,Observed issue: Standard periodic health audit requested.,No active issue during periodic audit,No Problem,Periodic health audit passed,Routine periodic audit,Completed periodic audit and retained normal monitoring,Completed,Diagnosis confirmed through targeted checks. Completed periodic audit and retained normal monitoring,Yes
REP-00137,DRDO-PC-0017,Observed issue: Heat buildup occurs near the processor area and requests diagnosis.,Localized processor heat; elevated package temperature,Overheating,Processor heat-transfer path degraded,Uneven heatsink seating,Reseated CPU cooler with correct mounting pressure,Completed,Diagnosis confirmed through targeted checks. Reseated CPU cooler with correct mounting pressure,Yes
REP-00812,DRDO-PC-0055,Preventive check requested after long uptime,Stable long-uptime behavior,No Problem,Long-uptime health check passed,No uptime-related degradation detected,Performed preventive check and retained baseline metrics,Completed,Diagnosis confirmed through targeted checks. Performed preventive check and retained baseline metrics,Yes
REP-00077,DRDO-PC-0032,Maintenance note: Heat buildup occurs near the processor area.,Localized processor heat; elevated package temperature,Overheating,Processor heat-transfer path degraded,Uneven heatsink seating,Reseated CPU cooler with correct mounting pressure,Completed,Diagnosis confirmed through targeted checks. Reseated CPU cooler with correct mounting pressure,Yes
REP-00637,DRDO-PC-0087,User reports: PC turns off immediately after starting a demanding task,Immediate shutdown on demanding workload,Power Issue,Immediate load-triggered power protection event,Load-triggered overcurrent or undervoltage protection,Corrected overload condition and replaced degraded supply if needed,Completed,Diagnosis confirmed through targeted checks. Corrected overload condition and replaced degraded supply if needed,Yes
REP-00974,DRDO-PC-0088,Routine pre-mission hardware verification requested,No mission-readiness fault indicators,No Problem,Mission-readiness check passed,Routine readiness verification,Completed readiness verification and documented pass,Completed,Diagnosis confirmed through targeted checks. Completed readiness verification and documented pass,Yes
REP-00939,DRDO-PC-0041,Observed issue: No performance degradation has been noticed and requests diagnosis.,No observed performance degradation,No Problem,No degradation detected,No measurable degradation,Checked performance indicators; no degradation found,Completed,Diagnosis confirmed through targeted checks. Checked performance indicators; no degradation found,Yes
REP-00900,DRDO-PC-0008,Standard periodic health audit requested during recent operation.,No active issue during periodic audit,No Problem,Periodic health audit passed,Routine periodic audit,Completed periodic audit and retained normal monitoring,Completed,Diagnosis confirmed through targeted checks. Completed periodic audit and retained normal monitoring,Yes
REP-00281,DRDO-PC-0035,Files take unusually long to open and disk errors appear during recent operation.,SMART warning; high read latency,Disk Failure,Storage device degradation confirmed,Aging storage media,"Backed up data, replaced drive, and verified SMART health",Completed,"Diagnosis confirmed through targeted checks. Backed up data, replaced drive, and verified SMART health",Yes
REP-00884,DRDO-PC-0077,No fault reported; requesting standard diagnostics during recent operation.,Normal operation; diagnostics requested,No Problem,No reproducible hardware issue,No underlying fault identified,Ran standard diagnostics; no corrective action required,Completed,Diagnosis confirmed through targeted checks. Ran standard diagnostics; no corrective action required,Yes
REP-00762,DRDO-PC-0082,System powers off without warning,Sudden power loss; no thermal precursor,Power Issue,Unexpected power interruption,Failing PSU or loose power connection,Reseated power connections and replaced faulty PSU where required,Completed,Diagnosis confirmed through targeted checks. Reseated power connections and replaced faulty PSU where required,Yes
