ModelName,CPUUsage,RAMUsage,Temperature,Voltage,DiskUsage,FanSpeed,ProblemDetected
HP Z2 G8,37.65,56.03,49.34,12.31,95.78,3854,Disk Failure
Lenovo ThinkCentre M90q,46.98,35.03,68.61,11.67,82.76,2446,Disk Failure
Lenovo ThinkCentre M90q,69.26,49.75,76.4,11.44,86.39,3026,Disk Failure
Dell Precision 3650,72.59,36.74,62.76,14.79,53.77,2592,Power Issue
Lenovo ThinkCentre M90q,61.43,86.13,72.53,11.91,51.61,2860,Memory Leak
Lenovo ThinkCentre M90q,84.73,50.35,92.75,12.23,41.04,6287,Overheating
Lenovo ThinkCentre M90q,90.87,100.0,87.71,12.48,61.57,4877,Memory Leak
HP EliteDesk 800 G6,35.82,55.31,52.22,15.06,40.04,2324,Power Issue
HP EliteDesk 800 G6,10.7,51.27,41.44,11.77,82.0,2609,No Problem
Dell Precision 3650,33.99,46.64,68.85,14.07,55.76,2173,Power Issue
HP Z2 G8,19.47,39.21,53.13,12.32,43.65,2517,No Problem
Dell Precision 3650,41.45,46.97,37.02,11.81,60.26,2914,No Problem
Lenovo ThinkCentre M90q,55.05,33.14,89.86,12.18,79.33,4116,Overheating
Lenovo ThinkCentre M90q,63.17,65.47,65.59,12.52,66.32,2302,Disk Failure
Lenovo ThinkCentre M90q,72.74,68.14,80.59,11.77,13.0,3205,Overheating
Dell Precision 3650,54.69,50.34,91.31,11.54,48.76,4722,Overheating
Dell OptiPlex 7090,51.72,43.66,54.46,11.65,81.65,2979,Disk Failure
Dell Precision 3650,70.98,82.82,67.2,11.86,61.53,3046,Memory Leak
HP EliteDesk 800 G6,37.58,33.85,53.19,12.1,27.78,2315,No Problem
Dell OptiPlex 7090,51.35,40.55,46.68,11.89,49.98,3363,Disk Failure
HP EliteDesk 800 G6,56.87,24.03,70.14,10.59,45.8,2659,Power Issue
HP Z2 G8,72.75,57.63,97.9,11.92,56.54,1704,Overheating
Dell Precision 3650,89.09,60.84,37.57,9.72,63.13,3724,Power Issue
Dell Precision 3650,35.14,81.31,66.48,14.48,45.99,2658,Power Issue
HP EliteDesk 800 G6,18.95,40.68,25.0,11.71,49.98,2840,No Problem
HP Z2 G8,80.47,59.75,97.94,11.89,39.06,5316,Overheating
Lenovo ThinkCentre M90q,29.7,48.34,66.31,11.5,88.46,2381,Disk Failure
Dell Precision 3650,40.34,24.92,49.78,12.45,91.78,2193,Disk Failure
Dell Precision 3650,72.05,28.63,54.15,11.5,75.51,1729,Disk Failure
Dell Precision 3650,75.41,50.46,74.52,12.38,59.05,3377,Overheating
HP EliteDesk 800 G6,50.0,56.21,43.91,12.41,87.86,2933,Disk Failure
HP Z2 G8,25.92,50.84,47.33,12.4,27.76,967,No Problem
HP EliteDesk 800 G6,37.69,35.83,57.0,12.18,98.01,3153,Disk Failure
HP EliteDesk 800 G6,84.26,40.59,63.47,13.55,14.32,2503,Power Issue
Dell Precision 3650,79.1,68.24,94.37,11.91,61.04,6402,Overheating
HP Z2 G8,41.67,67.28,61.45,11.8,82.83,2791,Disk Failure
HP Z2 G8,70.62,92.15,57.69,11.74,42.89,4022,Memory Leak
Dell Precision 3650,28.84,42.6,37.08,12.08,53.53,1927,Disk Failure
Lenovo ThinkCentre M90q,45.36,84.21,67.69,11.6,39.79,4770,Memory Leak
HP Z2 G8,81.52,54.42,51.58,11.85,81.92,2727,Disk Failure
HP Z2 G8,33.0,51.26,52.15,15.02,26.72,3531,Power Issue
HP EliteDesk 800 G6,48.77,45.77,53.2,11.2,76.78,2143,Disk Failure
Dell OptiPlex 7090,57.16,99.83,67.8,12.54,81.33,3858,Memory Leak
Dell Precision 3650,86.91,95.0,45.07,12.19,89.56,1869,Disk Failure
Dell OptiPlex 7090,81.56,87.69,79.16,11.48,58.44,3697,Overheating
HP Z2 G8,58.88,85.47,81.04,12.17,44.49,2592,Memory Leak
Lenovo ThinkCentre M90q,27.7,67.92,53.56,12.13,76.01,1773,Disk Failure
Dell Precision 3650,69.91,12.62,50.92,11.54,5.0,1191,No Problem
Dell OptiPlex 7090,62.25,89.09,50.23,12.06,79.52,3042,Memory Leak
HP EliteDesk 800 G6,47.08,22.13,42.41,8.83,48.47,2965,Power Issue
HP Z2 G8,34.74,36.55,39.2,11.76,32.4,2446,No Problem
Lenovo ThinkCentre M90q,57.2,98.32,59.71,11.95,56.3,4604,Memory Leak
